indicatorId,geoUnit,year,value,qualifier,magnitude
20062,EGY,2000,7947488,UIS_EST,
20062,EGY,2001,7856340,UIS_EST,
20062,EGY,2002,7855433,UIS_EST,
20062,EGY,2003,7874308,UIS_EST,
20062,EGY,2004,7928380,UIS_EST,
20062,EGY,2005,9563627,,
20062,EGY,2006,9794591,,
20062,EGY,2007,9988181,,
20062,EGY,2009,10407187,,
20062,EGY,2010,10542138,,
20062,EGY,2011,10266010,,
20062,EGY,2012,10945595,,
20062,EGY,2013,11102706,,
20062,EGY,2014,11128030,,
20062,EGY,2016,11764161,,
20062,EGY,2017,12161376,,
20062,EGY,2018,12643289,,
20062,EGY,2019,13265036,,
20062,EGY,2020,13912595,,
20062,EGY,2021,14555423,,
20062,EGY,2022,13818245,,
20062,EGY,2023,15066458,,
20062,MOZ,2000,2543820,,
20062,MOZ,2001,2829787,,
20062,MOZ,2002,3023321,,
20062,MOZ,2004,3569473,,
20062,MOZ,2005,3942829,,
20062,MOZ,2006,4165580,,
20062,MOZ,2007,4560905,,
20062,MOZ,2008,4899652,,
20062,MOZ,2009,5071878,,
20062,MOZ,2010,5277868,,
20062,MOZ,2011,5253670,,
20062,MOZ,2012,5359019,,
20062,MOZ,2013,5567807,UIS_EST,
20062,MOZ,2014,5705343,UIS_EST,
20062,MOZ,2015,5901996,UIS_EST,
20062,MOZ,2016,6042936,,
20062,MOZ,2017,6138518,,
20062,MOZ,2018,6563376,,
20062,MOZ,2019,6940864,,
20062,MOZ,2020,7219935,,
20062,MOZ,2021,7216319,,
20062,MOZ,2022,7656055,,
20062,NGA,2000,19151442,,
20062,NGA,2001,19041224,,
20062,NGA,2002,19806082,,
20062,NGA,2003,20600796,UIS_EST,
20062,NGA,2004,21395510,,
20062,NGA,2005,22115432,,
20062,NGA,2006,22861884,,
20062,NGA,2007,21513996,,
20062,NGA,2008,20008142,UIS_EST,
20062,NGA,2009,20957642,UIS_EST,
20062,NGA,2010,21558460,UIS_EST,
20062,NGA,2011,23668904,,
20062,NGA,2012,24822374,,
20062,NGA,2013,26167544,,
20062,NGA,2014,25801196,,
20062,NGA,2015,25442535,,
20062,NGA,2016,25591180,,
20062,NGA,2017,24543722,,
20062,NGA,2018,27889388,,
20062,NGA,2019,28078437,,
20062,NGA,2020,30100084,,
20062,NGA,2021,30455582,,
20062,SEN,2000,1107712,,
20062,SEN,2001,1159721,,
20062,SEN,2002,1197081,,
20062,SEN,2003,1287093,,
20062,SEN,2004,1382749,,
20062,SEN,2005,1444163,,
20062,SEN,2006,1473464,,
20062,SEN,2007,1572178,,
20062,SEN,2008,1618303,,
20062,SEN,2009,1652585,,
20062,SEN,2010,1695007,,
20062,SEN,2011,1797147,,
20062,SEN,2012,1839982,,
20062,SEN,2013,1845649,,
20062,SEN,2014,1926736.125,,
20062,SEN,2015,1977388,,
20062,SEN,2016,2014230,,
20062,SEN,2018,2142227,,
20062,SEN,2019,2171967,,
20062,SEN,2020,2259988,,
20062,SEN,2021,2269617,,
20062,SEN,2022,2321323,,
20062,SEN,2023,2340219,,
EA.1T8.AG25T99,EGY,2006,49.40999984741211,,
EA.1T8.AG25T99,EGY,2010,52.83405555535418,UIS_EST,
EA.1T8.AG25T99,EGY,2011,53.19768832651157,UIS_EST,
EA.1T8.AG25T99,EGY,2012,54.79302655586069,UIS_EST,
EA.1T8.AG25T99,EGY,2013,53.76809324626357,UIS_EST,
EA.1T8.AG25T99,EGY,2014,54.24481114761039,UIS_EST,
EA.1T8.AG25T99,EGY,2015,57.97446767770196,UIS_EST,
EA.1T8.AG25T99,EGY,2016,60.78173506068477,UIS_EST,
EA.1T8.AG25T99,EGY,2017,60.25675826809217,UIS_EST,
EA.1T8.AG25T99,EGY,2018,63.21282691180308,UIS_EST,
EA.1T8.AG25T99,EGY,2020,66.1075886311729,UIS_EST,
EA.1T8.AG25T99,EGY,2021,68.24403381347656,,
EA.1T8.AG25T99,EGY,2022,66.6084296306774,UIS_EST,
EA.1T8.AG25T99,EGY,2023,69.22196387894618,UIS_EST,
EA.1T8.AG25T99,MOZ,2009,31.77000045776367,,
EA.1T8.AG25T99,MOZ,2011,20.03000068664551,,
EA.1T8.AG25T99,MOZ,2015,35.61000061035156,,
EA.1T8.AG25T99,MOZ,2020,42.13000106811523,,
EA.1T8.AG25T99,MOZ,2022,32.09288024902344,,
EA.1T8.AG25T99,NGA,2006,59.52999877929688,,
EA.1T8.AG25T99,NGA,2016,63.25836181640625,,
EA.1T8.AG25T99,NGA,2018,61.59194183349609,,
EA.1T8.AG25T99,NGA,2019,65.0578384399414,,
EA.1T8.AG25T99,NGA,2021,65.31773376464844,,
EA.1T8.AG25T99,NGA,2022,87.0976071148465,UIS_EST,
EA.1T8.AG25T99,NGA,2023,89.32784013587319,UIS_EST,
EA.1T8.AG25T99,SEN,2006,10.85000038146973,,
EA.1T8.AG25T99,SEN,2011,21.78000068664551,,
EA.1T8.AG25T99,SEN,2013,27.35000038146973,,
EA.1T8.AG25T99,SEN,2015,18.31789016723633,,
