indicatorId,geoUnit,year,value,qualifier,magnitude
CR.1.RUR.F,EGY,2000,65.98,,
CR.1.RUR.F,EGY,2005,75.8104476928711,,
CR.1.RUR.F,EGY,2009,81.76998138427734,,
CR.1.RUR.F,EGY,2014,89.95039367675781,,
CR.1.RUR.F,EGY,2015,89.98,,
CR.1.RUR.F,EGY,2017,93,,
CR.1.RUR.F,EGY,2021,97.18219757080078,,
CR.1.RUR.F,EGY,2022,95.47,,
CR.1.RUR.F,MOZ,2003,3.139899969100952,,
CR.1.RUR.F,MOZ,2008,15.34304046630859,,
CR.1.RUR.F,MOZ,2011,22.04937934875488,,
CR.1.RUR.F,MOZ,2015,24.84,,
CR.1.RUR.F,MOZ,2022,37.18803024291992,,
CR.1.RUR.F,NGA,2003,46.6511116027832,,
CR.1.RUR.F,NGA,2007,54.30086135864258,,
CR.1.RUR.F,NGA,2008,58.85699844360352,,
CR.1.RUR.F,NGA,2010,66.14884948730469,,
CR.1.RUR.F,NGA,2011,63.18561172485352,,
CR.1.RUR.F,NGA,2013,49.40375900268555,,
CR.1.RUR.F,NGA,2016,61.85189056396484,,
CR.1.RUR.F,NGA,2018,56.80731964111328,,
CR.1.RUR.F,NGA,2019,75.2784194946289,,
CR.1.RUR.F,NGA,2021,59.98170852661133,,
CR.1.RUR.F,SEN,2002,13.48241996765137,,
CR.1.RUR.F,SEN,2005,8.187479972839355,,
CR.1.RUR.F,SEN,2011,23.41498947143555,,
CR.1.RUR.F,SEN,2014,36.41,,
CR.1.RUR.F,SEN,2015,38.73748016357422,,
CR.1.RUR.F,SEN,2016,37.60243988037109,,
CR.1.RUR.F,SEN,2017,37.01438140869141,,
CR.1.RUR.F,SEN,2018,37.34645080566406,,
CR.1.RUR.F,SEN,2019,35.57326889038086,,
CR.1.RUR.F,SEN,2023,47.06964874267578,,
CR.1.RUR.M,EGY,2000,84.14,,
CR.1.RUR.M,EGY,2005,84.64811706542969,,
CR.1.RUR.M,EGY,2009,82.74214172363281,,
CR.1.RUR.M,EGY,2014,89.82965087890625,,
CR.1.RUR.M,EGY,2015,89.88000000000001,,
CR.1.RUR.M,EGY,2017,93.82000000000001,,
CR.1.RUR.M,EGY,2021,96.9689712524414,,
CR.1.RUR.M,EGY,2022,95.99,,
CR.1.RUR.M,MOZ,2003,5.439539909362793,,
CR.1.RUR.M,MOZ,2008,23.73213958740234,,
CR.1.RUR.M,MOZ,2011,29.40690040588379,,
CR.1.RUR.M,MOZ,2015,27.92,,
CR.1.RUR.M,MOZ,2022,37.83568954467773,,
CR.1.RUR.M,NGA,2003,58.49105072021484,,
CR.1.RUR.M,NGA,2007,51.13766098022461,,
CR.1.RUR.M,NGA,2008,63.2960205078125,,
CR.1.RUR.M,NGA,2010,67.70764923095703,,
CR.1.RUR.M,NGA,2011,63.42570877075195,,
CR.1.RUR.M,NGA,2013,59.14495086669922,,
CR.1.RUR.M,NGA,2016,65.49121856689453,,
CR.1.RUR.M,NGA,2018,56.95148849487305,,
CR.1.RUR.M,NGA,2019,72.5526123046875,,
CR.1.RUR.M,NGA,2021,61.50120162963867,,
CR.1.RUR.M,SEN,2002,21.7556095123291,,
CR.1.RUR.M,SEN,2005,13.2362003326416,,
CR.1.RUR.M,SEN,2011,26.82111930847168,,
CR.1.RUR.M,SEN,2014,36.54,,
CR.1.RUR.M,SEN,2015,37.82049942016602,,
CR.1.RUR.M,SEN,2016,35.30891036987305,,
CR.1.RUR.M,SEN,2017,37.87429809570313,,
CR.1.RUR.M,SEN,2018,39.35947036743164,,
CR.1.RUR.M,SEN,2019,33.47850036621094,,
CR.1.RUR.M,SEN,2023,37.15581893920898,,
ILLPOPF.AG15T99,EGY,2005,66,,
ILLPOPF.AG15T99,EGY,2006,62,,
ILLPOPF.AG15T99,EGY,2010,65,,
ILLPOPF.AG15T99,EGY,2012,65,,
ILLPOPF.AG15T99,EGY,2013,67,,
ILLPOPF.AG15T99,EGY,2017,59,,
ILLPOPF.AG15T99,MOZ,2003,69,,
ILLPOPF.AG15T99,MOZ,2009,69,,
ILLPOPF.AG15T99,MOZ,2015,69,,
ILLPOPF.AG15T99,MOZ,2017,67,,
ILLPOPF.AG15T99,MOZ,2020,68,,
ILLPOPF.AG15T99,NGA,2003,63,,
ILLPOPF.AG15T99,NGA,2006,60,,
ILLPOPF.AG15T99,SEN,2002,61,,
ILLPOPF.AG15T99,SEN,2006,60,,
ILLPOPF.AG15T99,SEN,2009,62,,
ILLPOPF.AG15T99,SEN,2011,65,,
ILLPOPF.AG15T99,SEN,2013,60,,
ILLPOPF.AG15T99,SEN,2017,64,,
ILLPOPF.AG15T99.RUR,EGY,2005,69,,
ILLPOPF.AG15T99.RUR,EGY,2010,71,,
ILLPOPF.AG15T99.RUR,EGY,2012,71,,
ILLPOPF.AG15T99.RUR,EGY,2013,69,,
ILLPOPF.AG15T99.RUR,MOZ,2009,68,,
ILLPOPF.AG15T99.RUR,MOZ,2015,68,,
ILLPOPF.AG15T99.RUR,MOZ,2017,67,,
ILLPOPF.AG15T99.RUR,MOZ,2020,67,,
ILLPOPF.AG15T99.RUR,SEN,2002,59,,
ILLPOPF.AG15T99.RUR,SEN,2006,59,,
ILLPOPF.AG15T99.RUR,SEN,2009,60,,
ILLPOPF.AG15T99.RUR,SEN,2011,64,,
ILLPOPF.AG15T99.RUR,SEN,2013,60,,
ILLPOPF.AG15T99.RUR,SEN,2017,63,,
